day,time,power,Apartment
1,07:30:00,0.0,5
1,08:30:00,3.1287042045591664,5
1,09:30:00,3.8517009417218344,5
1,10:30:00,4.862898861566666,5
1,11:30:00,4.730838634173167,5
1,12:30:00,6.0299455674489995,5
1,13:30:00,11.167015473044836,5
1,14:30:00,10.809621089305335,5
1,15:30:00,12.705798606875831,5
1,16:30:00,4.766880884170833,5
1,17:30:00,2.788794043858667,5
1,18:30:00,2.544693012237833,5
1,19:30:00,2.5896635500588343,5
1,20:30:00,2.7090720748903334,5
1,21:30:00,2.950431124369333,5
1,22:30:00,2.661244163513,5
1,23:30:00,2.4220065625511675,5
2,00:30:00,26.340320291506,5
2,01:30:00,19.821041666662992,5
2,02:30:00,6.098470929465503,5
2,03:30:00,5.385053037007999,5
2,04:30:00,33.45858645438317,5
2,05:30:00,24.56112535477284,5
2,06:30:00,34.423724470160835,5
2,07:30:00,4.103923937479667,5
2,08:30:00,6.549837377866167,5
2,09:30:00,2.1803012720748343,5
2,10:30:00,1.8965756670635,5
2,11:30:00,2.4039296849568346,5
2,12:30:00,8.870023358663332,5
2,13:30:00,77.04950681686532,5
2,14:30:00,158.40958083044336,5
2,15:30:00,134.87692937850102,5
2,16:30:00,78.79989621798062,5
2,17:30:00,40.61581315236629,5
2,18:30:00,36.026335341137376,5
2,19:30:00,35.33433085355896,5
2,20:30:00,36.126237907409354,5
2,21:30:00,36.59984353701251,5
2,22:30:00,34.156427586873825,5
2,23:30:00,33.224822705588345,5
3,00:30:00,661.9944833946415,5
3,01:30:00,783.7674948373519,5
3,02:30:00,49.3675261561082,5
3,03:30:00,95.84688738347145,5
3,04:30:00,98.1116049700007,5
3,05:30:00,297.50757225196867,5
3,06:30:00,201.0991960495347,5
3,07:30:00,341.95520419202364,5
3,08:30:00,51.29942848841257,5
3,09:30:00,32.529997622173,5
3,10:30:00,27.73817867596918,5
3,11:30:00,38.39561318715534,5
3,12:30:00,153.0225990994748,5
3,13:30:00,155.8776294485622,5
3,14:30:00,147.42699519792933,5
3,15:30:00,137.69666495592693,5
3,16:30:00,113.52498906454127,5
3,17:30:00,90.55328482310762,5
3,18:30:00,49.45360301017868,5
3,19:30:00,43.183080488841846,5
3,20:30:00,37.34436815261847,5
3,21:30:00,36.99445094426433,5
3,22:30:00,45.16945745222176,5
3,23:30:00,39.54885152526047,5
4,03:30:00,270.908729731213,5
4,04:30:00,49.02438206355621,5
4,05:30:00,99.00417824427099,5
4,06:30:00,25.05186230659232,5
4,07:30:00,3.457760798135833,5
4,08:30:00,4.071140073140501,5
4,09:30:00,5.478620764414167,5
4,10:30:00,4.865877819061833,5
4,11:30:00,7.123801256815167,5
4,12:30:00,7.078523241678333,5
4,13:30:00,7.541324491501499,5
4,14:30:00,7.053583710989835,5
4,15:30:00,8.870559364953497,5
4,16:30:00,6.430209754306501,5
4,17:30:00,5.598127969106001,5
4,18:30:00,3.9017582130435002,5
4,19:30:00,2.8467346827186666,5
4,20:30:00,3.778963308334667,5
4,21:30:00,4.511874837875166,5
4,22:30:00,4.455355021159167,5
4,23:30:00,20.740089527762507,5
5,00:30:00,54.27445096966533,5
5,01:30:00,13.921634620031966,5
5,02:30:00,2.300117637316066,5
5,03:30:00,5.199676392868165,5
5,04:30:00,4.3107716321938,5
5,05:30:00,5.825601841609334,5
5,06:30:00,5.354261811572334,5
5,07:30:00,1.7051139640805,5
5,08:30:00,1.7161427179975002,5
5,09:30:00,1.6980594476064998,5
5,10:30:00,9.966513067881337,5
5,11:30:00,12.35292921701934,5
6,05:30:00,39.879524488449334,5
6,06:30:00,124.12319752375693,5
6,07:30:00,15.619344221750168,5
6,16:30:00,23.254464383620938,5
6,17:30:00,94.5862995195424,5
6,18:30:00,66.96798615296686,5
6,19:30:00,59.78397424380002,5
6,20:30:00,62.8190158303577,5
6,21:30:00,55.5134203005576,5
6,22:30:00,73.64645345370027,5
6,23:30:00,96.26502908865224,5
7,00:30:00,484.4170374011934,5
7,01:30:00,256.2043589507952,5
7,02:30:00,61.55288256326995,5
7,03:30:00,753.8537858327061,5
7,04:30:00,279.0842584323934,5
7,05:30:00,48.158716271718674,5
7,06:30:00,123.26969749134084,5
7,07:30:00,56.00776183063684,5
7,08:30:00,140.1528830591806,5
7,09:30:00,112.08871340751469,5
7,10:30:00,26.31201955159367,5
7,11:30:00,11.519724737803164,5
7,12:30:00,11.918454634351665,5
7,13:30:00,8.869160957339334,5
7,14:30:00,5.237415091195835,5
7,15:30:00,4.778707857132499,5
7,16:30:00,3.8104573535920006,5
7,17:30:00,2.3318035888671664,5
7,18:30:00,2.3882560666399995,5
7,19:30:00,2.347387847900667,5
7,20:30:00,2.343618195851501,5
7,21:30:00,2.219491291046167,5
7,22:30:00,5.515601584114335,5
7,23:30:00,2.9976100285848344,5
8,00:30:00,2.605911655425833,5
8,01:30:00,3.1071700604756667,5
8,02:30:00,19.297558689100832,5
8,03:30:00,35.365623397827655,5
8,04:30:00,49.513605362553,5
8,05:30:00,5.914375378290835,5
8,06:30:00,8.423289419811834,5
8,07:30:00,4.592673600514999,5
8,08:30:00,6.403868503570167,5
8,09:30:00,9.096922885575168,5
8,10:30:00,6.169384431839,5
8,11:30:00,4.801936155956251,5
8,12:30:00,7.467298774717001,5
8,13:30:00,11.174138813016999,5
8,14:30:00,10.20827511206616,5
8,15:30:00,43.207053804402825,5
8,16:30:00,19.475901899334335,5
8,17:30:00,5.065307834148234,5
8,18:30:00,5.4227188603083505,5
8,19:30:00,5.700593965847934,5
8,20:30:00,4.29123243490835,5
